match_id,match_date,wc_year,team,is_home,xg,shots,shots_on_target,passes,pass_completion_pct,pressures,duels,interceptions
7571,2018-06-28,2018,Colombia,False,0.28486186999999996,4,2,466,0.7682403433476395,96,20,5
7569,2018-06-28,2018,Panama,True,0.6907955865,9,4,291,0.6941580756013745,170,29,15
7569,2018-06-28,2018,Tunisia,False,2.852455004,15,6,648,0.8441358024691358,147,22,13
7568,2018-06-27,2018,Switzerland,True,1.1964671297,13,3,595,0.8436974789915966,172,22,7
7568,2018-06-27,2018,Costa Rica,False,1.576212685,14,6,362,0.7734806629834254,118,14,13
7530,2018-06-16,2018,France,True,1.561557064,12,4,549,0.8105646630236795,136,22,7
7530,2018-06-16,2018,Australia,False,0.980031062,5,2,444,0.7702702702702703,113,39,15
7558,2018-06-25,2018,Uruguay,True,2.4825809298,16,6,526,0.8288973384030418,146,27,6
7558,2018-06-25,2018,Russia,False,0.180184531,3,1,380,0.7631578947368421,218,15,7
7583,2018-07-02,2018,Brazil,True,3.320421268,19,10,410,0.8048780487804879,257,34,9
7583,2018-07-02,2018,Mexico,False,0.58279982,14,1,429,0.8228438228438228,153,27,4
7547,2018-06-21,2018,Denmark,True,1.014444774,10,5,478,0.8284518828451883,152,28,10
7547,2018-06-21,2018,Australia,False,1.412191891,13,5,533,0.8292682926829268,168,21,4
7535,2018-06-17,2018,Costa Rica,True,0.5960217237,10,3,481,0.7817047817047817,97,27,9
7535,2018-06-17,2018,Serbia,False,1.9925690040000001,12,2,439,0.7630979498861048,126,34,6
7584,2018-07-02,2018,Belgium,True,2.9178317195,28,7,618,0.8478964401294499,140,14,5
7584,2018-07-02,2018,Japan,False,0.6937694522000001,12,4,457,0.7943107221006565,167,20,12
7545,2018-06-21,2018,Argentina,True,1.2180579430000003,10,3,535,0.77196261682243,236,30,11
7545,2018-06-21,2018,Croatia,False,1.8317100519999998,14,5,382,0.7172774869109948,194,18,12
8649,2018-07-06,2018,Uruguay,True,0.693195278,10,4,352,0.6164772727272727,182,38,14
8649,2018-07-06,2018,France,False,0.5387829577000001,11,2,567,0.7848324514991182,171,31,17
8658,2018-07-15,2018,France,True,1.097963608,8,6,292,0.6917808219178082,157,24,11
8658,2018-07-15,2018,Croatia,False,1.4802876897,15,3,554,0.8086642599277978,97,29,6
7561,2018-06-26,2018,Iceland,True,2.1326869014999996,17,6,331,0.676737160120846,232,24,9
7561,2018-06-26,2018,Croatia,False,0.6739287970000001,13,2,535,0.8429906542056075,216,30,7
7531,2018-06-16,2018,Argentina,True,2.0805182487,28,7,796,0.871859296482412,84,19,3
7531,2018-06-16,2018,Iceland,False,1.0321244945,9,2,224,0.6116071428571429,176,39,28
7582,2018-07-01,2018,Spain,True,5.358603154,29,14,1157,0.8867761452031115,123,33,3
7582,2018-07-01,2018,Russia,False,4.5404268089999995,12,5,326,0.6595092024539877,277,29,21
7552,2018-06-23,2018,Belgium,True,5.336422204999999,23,11,475,0.8252631578947368,160,15,16
7552,2018-06-23,2018,Tunisia,False,1.1881780826,17,5,467,0.8008565310492506,272,14,9
7532,2018-06-16,2018,Peru,True,1.926378192,17,6,435,0.7977011494252874,121,28,8
7532,2018-06-16,2018,Denmark,False,1.1215676380000001,11,3,402,0.7512437810945274,170,28,11
7560,2018-06-25,2018,Spain,True,2.6044931,18,3,753,0.896414342629482,140,20,9
7560,2018-06-25,2018,Morocco,False,1.0717606750000002,8,3,251,0.7450199203187251,267,23,8
7533,2018-06-17,2018,Brazil,True,1.8828507489999997,21,4,555,0.8522522522522522,234,16,22
7533,2018-06-17,2018,Switzerland,False,0.4721066513,7,2,458,0.7925764192139738,266,24,15
