match_date,year,home_team_name,away_team_name,home_hist_win_rate,away_hist_win_rate,home_hist_draw_rate,away_hist_draw_rate,home_hist_goals_per_game,away_hist_goals_per_game,home_hist_goals_conceded_per_game,away_hist_goals_conceded_per_game,home_hist_matches_played,away_hist_matches_played,hist_win_rate_diff,hist_goals_per_game_diff,is_group_stage,is_knockout,stage_ordinal,home_is_host,away_is_host,home_wc_appearances,away_wc_appearances,wc_appearances_diff,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_total,h2h_home_win_rate,home_elo,away_elo,elo_diff,home_rolling5_win_rate,away_rolling5_win_rate,home_rolling5_goals_pg,away_rolling5_goals_pg,home_rest_days,away_rest_days,home_attack_x_away_defense,away_attack_x_home_defense,elo_x_form_diff,result
1930-07-30,1930,Uruguay,Argentina,1.0,1.0,0.0,0.0,3.6666666666666665,4.0,0.3333333333333333,1.25,3.0,4.0,0.0,-0.3333333333333335,0,1,6,1,0,0,0,0,0,0,0,0,0.33,1547.2960398095508,1561.8362007207272,-14.540160911176372,1.0,1.0,3.6666666666666665,4.0,3.0,4.0,4.583333333333333,1.3333333333333333,-0.0,home team win
1934-05-27,1934,Austria,France,0.33,0.3333333333333333,0.33,0.0,0.0,1.3333333333333333,0.0,1.0,0.0,3.0,0.0,0.0,0,1,2,0,0,0,1,-1,0,0,0,0,0.33,1500.0,1484.0,16.0,0.41379310344827586,0.3333333333333333,1.4827586206896552,1.3333333333333333,5.0,365.0,0.0,0.0,1.2873563218390807,home team win
1934-05-27,1934,Czechoslovakia,Romania,0.33,0.5,0.33,0.0,0.0,1.5,0.0,2.5,0.0,2.0,0.0,0.0,0,1,2,0,0,0,1,-1,0,0,0,0,0.33,1500.0,1499.9660918698307,0.03390813016926586,0.36666666666666664,0.5,1.4666666666666666,1.5,5.0,365.0,0.0,0.0,-0.004521084022568782,home team win
1934-05-27,1934,Germany,Belgium,0.33,0.0,0.33,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0,1,2,0,0,0,1,-1,0,0,0,0,0.33,1500.0,1468.0339081301693,31.966091869830734,0.66,0.0,2.02,0.0,5.0,365.0,0.0,0.0,21.097620634088287,home team win
1934-05-27,1934,Hungary,Egypt,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,0,0.33,1500.0,1500.0,0.0,0.46875,0.0,2.71875,0.7142857142857143,5.0,5.0,0.0,0.0,0.0,home team win
1934-05-27,1934,Italy,United States,0.33,0.6666666666666666,0.33,0.0,0.0,2.3333333333333335,0.0,2.0,0.0,3.0,0.0,0.0,0,1,2,1,0,0,1,-1,0,0,0,0,0.33,1500.0,1515.9667038894545,-15.966703889454493,0.5542168674698795,0.6666666666666666,1.5421686746987953,2.3333333333333335,5.0,365.0,0.0,0.0,1.7954526462037175,home team win
1934-05-27,1934,Spain,Brazil,0.33,0.5,0.33,0.0,0.0,2.5,0.0,1.0,0.0,2.0,0.0,0.0,0,1,2,0,0,0,1,-1,0,0,0,0,0.33,1500.0,1500.0339081301693,-0.03390813016926586,0.47761194029850745,0.5,1.6119402985074627,2.5,5.0,365.0,0.0,0.0,0.0007591372425955047,home team win
1934-05-27,1934,Sweden,Argentina,0.33,0.8,0.33,0.0,0.0,3.6,0.0,1.8,0.0,5.0,0.0,0.0,0,1,2,0,0,0,1,-1,0,0,0,0,0.33,1500.0,1545.1669922078047,-45.1669922078047,0.39215686274509803,0.8,1.5686274509803921,3.6,5.0,365.0,0.0,0.0,18.421047802398782,home team win
1934-05-27,1934,Switzerland,Netherlands,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,0,0.33,1500.0,1500.0,0.0,0.34146341463414637,0.5636363636363636,1.3414634146341464,1.7454545454545454,5.0,5.0,0.0,0.0,-0.0,home team win
1934-05-31,1934,Austria,Hungary,1.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,-1.0,0,1,3,0,0,0,0,0,0,0,0,0,0.33,1515.263693206478,1516.0,-0.7363067935220897,1.0,1.0,3.0,4.0,4.0,4.0,6.0,8.0,-0.0,home team win
1934-05-31,1934,Czechoslovakia,Switzerland,1.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,-1.0,0,1,3,0,0,0,0,0,0,0,0,0,0.33,1515.9984384729037,1516.0,-0.0015615270963280636,1.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,-0.0,home team win
1934-05-31,1934,Germany,Sweden,1.0,1.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,0,1,3,0,0,0,0,0,0,0,0,0,0.33,1514.5320468400625,1518.0683779150174,-3.5363310749548873,1.0,1.0,5.0,3.0,4.0,4.0,10.0,6.0,-0.0,home team win
1934-05-31,1934,Italy,Spain,1.0,1.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0,1,3,1,0,0,0,0,0,0,0,0,0.33,1516.734776691481,1516.0015615270963,0.7332151643847737,1.0,1.0,7.0,3.0,4.0,4.0,7.0,3.0,0.0,draw
1934-06-01,1934,Italy,Spain,0.5,0.5,0.5,0.5,4.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0,1,3,1,0,0,0,0,0,0,1,1,0.0,1516.7010109354585,1516.035327283119,0.6656836523395668,0.5,0.5,4.0,2.0,1.0,1.0,4.0,2.0,0.0,home team win
1934-06-03,1934,Czechoslovakia,Germany,1.0,1.0,0.0,0.0,2.5,3.5,1.5,1.5,2.0,2.0,0.0,-1.0,0,1,4,0,0,0,0,0,0,0,0,0,0.33,1531.998510383884,1530.694895280776,1.3036151031078589,1.0,1.0,2.5,3.5,3.0,3.0,3.75,5.25,0.0,home team win
1934-06-03,1934,Italy,Austria,0.6666666666666666,1.0,0.3333333333333333,0.0,3.0,2.5,0.6666666666666666,1.5,3.0,2.0,-0.33333333333333337,0.5,0,1,4,1,0,0,0,0,0,0,0,0,0.33,1532.6703551078808,1531.2976013366472,1.372753771233647,0.6666666666666666,1.0,3.0,2.5,2.0,3.0,4.5,1.6666666666666665,-0.45758459041121574,home team win
