variant,model,n_train,n_test,temporal_acc_mean,temporal_f1_mean,temporal_auc_mean,test_acc,test_f1,test_auc
Binary all-stages,Logistic Regression (balanced),731,54,0.6424242424242425,0.5692640692640693,0.7103754338055414,0.5370370370370371,0.4897959183673469,0.5625
Binary all-stages,"Random Forest (tuned, balanced)",731,54,0.6872727272727274,0.7009961685823756,0.7693988735279058,0.7037037037037037,0.7241379310344828,0.7272727272727273
Binary knockout-only,Logistic Regression (balanced),226,16,0.5208333333333334,0.47676767676767673,0.6019179894179894,0.5,0.5555555555555556,0.717948717948718
Binary knockout-only,"Random Forest (tuned, balanced)",226,16,0.7083333333333334,0.7560606060606062,0.7434523809523809,0.6875,0.7619047619047619,0.8205128205128205
Slice: full-train → 2022-KO,"Random Forest (tuned, balanced)",731,16,,,,0.6875,0.7619047619047619,0.7435897435897436
